entity,label,family,primary_type,coarse_category,explicit_types,embedding_strategy
PM35833116,PM35833116,PM35833116,PM35833116,PM35833116,,text_or_learned
PM36136294,PM36136294,PM36136294,PM36136294,PM36136294,,text_or_learned
PM36943846,PM36943846,PM36943846,PM36943846,PM36943846,,text_or_learned
PM648586,PM648586,PM648586,PM648586,PM648586,,text_or_learned
PM7594506,PM7594506,PM7594506,PM7594506,PM7594506,,text_or_learned
PM7608568,PM7608568,PM7608568,PM7608568,PM7608568,,text_or_learned
PM7636241,PM7636241,PM7636241,PM7636241,PM7636241,,text_or_learned
PM7682986,PM7682986,PM7682986,PM7682986,PM7682986,,text_or_learned
PM7691407,PM7691407,PM7691407,PM7691407,PM7691407,,text_or_learned
PM7719381,PM7719381,PM7719381,PM7719381,PM7719381,,text_or_learned
PM7985542,PM7985542,PM7985542,PM7985542,PM7985542,,text_or_learned
PM7985543,PM7985543,PM7985543,PM7985543,PM7985543,,text_or_learned
PM7991583,PM7991583,PM7991583,PM7991583,PM7991583,,text_or_learned
PM8152440,PM8152440,PM8152440,PM8152440,PM8152440,,text_or_learned
PM8302875,PM8302875,PM8302875,PM8302875,PM8302875,,text_or_learned
PM8428365,PM8428365,PM8428365,PM8428365,PM8428365,,text_or_learned
PM8575795,PM8575795,PM8575795,PM8575795,PM8575795,,text_or_learned
PM8798431,PM8798431,PM8798431,PM8798431,PM8798431,,text_or_learned
PM8931129,PM8931129,PM8931129,PM8931129,PM8931129,,text_or_learned
PM9099717,PM9099717,PM9099717,PM9099717,PM9099717,,text_or_learned
PM9435250,PM9435250,PM9435250,PM9435250,PM9435250,,text_or_learned
doid:10.1002/cpt.1985,10.1002/cpt.1985,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1002/mus.26707,10.1002/mus.26707,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1007/978-3-030-91311-3_10,10.1007/978-3-030-91311-3_10,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1007/s00262-018-2160-x,10.1007/s00262-018-2160-x,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1007/s00262-020-02730-5,10.1007/s00262-020-02730-5,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1007/s00262-020-02814-2,10.1007/s00262-020-02814-2,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1007/s00262-021-02932-5,10.1007/s00262-021-02932-5,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1007/s00280-022-04415-5,10.1007/s00280-022-04415-5,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1007/s10637-021-01078-6,10.1007/s10637-021-01078-6,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1007/s40265-020-01302-2,10.1007/s40265-020-01302-2,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1016/j.annonc.2020.11.020,10.1016/j.annonc.2020.11.020,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1016/j.bmc.2020.115327,10.1016/j.bmc.2020.115327,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1016/j.ccell.2018.02.010,10.1016/j.ccell.2018.02.010,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1016/j.critrevonc.2017.01.001,10.1016/j.critrevonc.2017.01.001,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1016/j.ejca.2015.08.012,10.1016/j.ejca.2015.08.012,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1016/j.jim.2018.02.003,10.1016/j.jim.2018.02.003,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1016/j.lungcan.2021.07.009,10.1016/j.lungcan.2021.07.009,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1016/j.ygyno.2021.08.018,10.1016/j.ygyno.2021.08.018,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1038/332323a0,10.1038/332323a0,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1038/celldisc.2017.4,10.1038/celldisc.2017.4,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1038/d41573-019-00214-5,10.1038/d41573-019-00214-5,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1038/nature14011,10.1038/nature14011,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1038/s41401-020-0422-6,10.1038/s41401-020-0422-6,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1073/pnas.95.2.669,10.1073/pnas.95.2.669,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1080/14712598.2018.1544240,10.1080/14712598.2018.1544240,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1080/14712598.2023.2193289,10.1080/14712598.2023.2193289,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1080/17474124.2020.1807939,10.1080/17474124.2020.1807939,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1080/19420862.2020.1724751,10.1080/19420862.2020.1724751,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1080/19420862.2021.1954136,10.1080/19420862.2021.1954136,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1080/2162402X.2018.1532759,10.1080/2162402X.2018.1532759,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1080/2162402X.2022.2080328,10.1080/2162402X.2022.2080328,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1111/1759-7714.13913,10.1111/1759-7714.13913,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1111/cts.12855,10.1111/cts.12855,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1111/ene.15266,10.1111/ene.15266,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1136/jitc-2020-000530,10.1136/jitc-2020-000530,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1136/jitc-2021-003776,10.1136/jitc-2021-003776,Disease,Disease,Disease,,biomedical_text_or_ontology
doid:10.1158/1078-0432.CCR-20-2819,10.1158/1078-0432.CCR-20-2819,Disease,Disease,Disease,,biomedical_text_or_ontology
