query_idx,mab,study_product,genes,n_specific,n_plausible,model_fraction,prior_fraction,enrichment,n_unmatched,status
82,imgt:mAb_526,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_breast_526,CD274,18,13,0.7222,0.5896,1.225,5,scored
83,imgt:mAb_1154,imgt:StudyProduct_University_of_California_Cancers_breast_1154,ROR1,18,14,0.7778,0.6468,1.2025,4,scored
84,imgt:mAb_145,imgt:StudyProduct_Beckman_Research_Institute_Cancers_145,CEACAM5,18,6,0.3333,0.3093,1.0776,12,scored
85,imgt:mAb_712,imgt:StudyProduct_AbbVie_Inc_Solid_tumors_712,EGFR,18,10,0.5556,0.4701,1.1819,8,scored
86,imgt:mAb_846,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Acute_myeloid_leukemia_(AML)_846,PDCD1,18,12,0.6667,0.5855,1.1386,6,scored
87,imgt:mAb_655,imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Solid_tumors_655,FGFR2,18,8,0.4444,0.3271,1.3586,10,scored
88,imgt:mAb_555,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Solid_tumors_555,CEACAM5,18,7,0.3889,0.307,1.2669,11,scored
89,imgt:mAb_672,imgt:StudyProduct_Singh_biotechnology_Cancers_pancreatic_672,STAT3,18,11,0.6111,0.5492,1.1128,7,scored
90,imgt:mAb_581,imgt:StudyProduct_MedImmune_Cancers_581,TNFRSF4,18,14,0.7778,0.6146,1.2655,4,scored
91,imgt:mAb_500,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Solid_tumors_500,VEGFA;ANGPT2,18,11,0.6111,0.4999,1.2225,7,scored
92,imgt:mAb_1189,imgt:StudyProduct_MacroGenics_Inc_Solid_tumors_1189,PDCD1;CTLA4,18,12,0.6667,0.6396,1.0422,6,scored
93,imgt:mAb_368,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Solid_tumors_368,MET,18,7,0.3889,0.3268,1.19,11,scored
94,imgt:mAb_572,imgt:StudyProduct_KaloBios_Pharmaceuticals_Inc_Hematologic_malignancies_572,EPHA3,18,11,0.6111,0.4672,1.3082,7,scored
95,imgt:mAb_722,imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_722,ERBB2,18,9,0.5,0.3932,1.2716,9,scored
96,imgt:mAb_820,imgt:StudyProduct_Genexine_Infection_papillomavirus_(HPV)_820,IL7R,18,6,0.3333,0.328,1.0164,12,scored
97,imgt:mAb_956,imgt:StudyProduct_CJSC_Biocad_Solid_tumors_956,CD274,18,13,0.7222,0.5864,1.2317,5,scored
98,imgt:mAb_320,imgt:StudyProduct_Chronic_lymphocytic_leukemia_(CLL)_320,CD5,18,11,0.6111,0.4936,1.2381,7,scored
99,imgt:mAb_905,imgt:StudyProduct_AbbVie_Inc_Cancers_ovarian_905,DPEP3,18,0,0.0,0.0,,18,scored
100,imgt:mAb_1115,imgt:StudyProduct_Affibody_AB_Cancers_breast_1115,ERBB2,18,9,0.5,0.3968,1.2602,9,scored
101,imgt:mAb_213,imgt:StudyProduct_ZymoGenetics_Inc_Systemic_lupus_erythematosus_(SLE)_213,TNFSF13;TNFSF13B,18,13,0.7222,0.6241,1.1572,5,scored
102,imgt:mAb_553,imgt:StudyProduct_Viela_Bio_Inc_Neuromyelitis_optica_(NMO)_553,CD19,18,8,0.4444,0.3821,1.1632,10,scored
103,imgt:mAb_433,imgt:StudyProduct_Symphogen_Cancers_head_and_neck_433,EGFR,18,10,0.5556,0.4682,1.1866,8,scored
104,imgt:mAb_388,imgt:StudyProduct_Acceleron_Pharma_Inc_Solid_tumors_388,GDF2;BMP10,18,10,0.5556,0.4396,1.2639,8,scored
105,imgt:mAb_513,imgt:StudyProduct_Progenics_Pharmaceuticals_Inc_Cancers_prostate_513,FOLH1,18,6,0.3333,0.272,1.2254,12,scored
106,imgt:mAb_1179,imgt:StudyProduct_Shandong_New_Time_Pharmaceutical_Cancers_1179,PDCD1,18,12,0.6667,0.5944,1.1215,6,scored
107,imgt:mAb_600,imgt:StudyProduct_ImmunoGen_Inc_Solid_tumors_600,EGFR,18,10,0.5556,0.4718,1.1774,8,scored
108,imgt:mAb_295,imgt:StudyProduct_ImClone_Systems_Inc_Cancers_non-small_cell_lung_(NSCLC)_295,KDR,18,11,0.6111,0.5018,1.218,7,scored
109,imgt:mAb_1370,imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_1370,TIGIT;PDCD1,18,15,0.8333,0.7692,1.0834,3,scored
110,imgt:mAb_194,imgt:StudyProduct_Genmab_A/S_Multiple_sclerosis_(MS)_194,MS4A1,18,9,0.5,0.44,1.1365,9,scored
111,imgt:mAb_931,imgt:StudyProduct_RemeGen_Ltd_Solid_tumors_931,ERBB2,18,9,0.5,0.3925,1.2739,9,scored
112,imgt:mAb_1131,imgt:StudyProduct_I-Mab_Biopharma_Solid_tumors_1131,CD47,18,15,0.8333,0.6926,1.2032,3,scored
113,imgt:mAb_472,imgt:StudyProduct_Merck_&_Co_Inc_Melanoma_metastatic_472,PDCD1,18,13,0.7222,0.6017,1.2004,5,scored
114,imgt:mAb_457,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Lymphoma_B_cell_457,CD22,18,7,0.3889,0.3467,1.1218,11,scored
115,imgt:mAb_602,imgt:StudyProduct_ImmunoGen_Inc_Non-Hodgkins_lymphoma_(NHL)_602,CD37,18,9,0.5,0.4106,1.2177,9,scored
116,imgt:mAb_1366,imgt:StudyProduct_MD_Anderson_Cancer_Center_Cancers_gastric_1366,TNFRSF9,18,14,0.7778,0.6387,1.2177,4,scored
117,imgt:mAb_534,imgt:StudyProduct_Novartis_Pharmaceuticals_Corp_Cancers_breast_534,ERBB3,18,9,0.5,0.3765,1.3279,9,scored
118,imgt:mAb_366,imgt:StudyProduct_Kyowa_Hakko_Kirin_Lymphoma_peripheral_T_cell_(PTCL)_366,NOCT,18,2,0.1111,0.0973,1.1424,16,scored
119,imgt:mAb_76,imgt:StudyProduct_YM_BioSciences_Inc_Cancers_gastric_76,EGFR,18,11,0.6111,0.4651,1.3139,7,scored
120,imgt:mAb_333,imgt:StudyProduct_Merck_&_Co_Inc_Solid_tumors_333,IGF1R,18,5,0.2778,0.2409,1.153,13,scored
121,imgt:mAb_1120,imgt:StudyProduct_Kymab_Cancers_non-small_cell_lung_(NSCLC)_1120,ICOS,18,10,0.5556,0.4375,1.2698,8,scored
122,imgt:mAb_1260,imgt:StudyProduct_Systimmune_Inc_Cancers_non-small_cell_lung_(NSCLC)_1260,ERBB3;EGFR,18,14,0.7778,0.6097,1.2756,4,scored
