model,trial,seed,lr,batch,neg,gamma,reg,regularizer,init_size,max_epochs,double_neg,valid_tail_mr,test_tail_mr,test_tail_mrr,test_h1,test_h3,test_h10
AttE,trial_015,6057,0.001,1024,32,12.0,1e-05,N3,0.005,200,True,33.946842193603516,32.11784362792969,0.28433823585510254,0.17845118045806885,0.29629629850387573,0.49494948983192444
AttE,trial_016,6058,0.001,1024,32,6.0,1e-06,F2,0.005,200,True,168.04983520507812,183.46127319335938,0.2784450948238373,0.16161616146564484,0.29629629850387573,0.5353535413742065
AttE,trial_017,6059,0.0003,256,64,0.0,1e-05,F2,0.005,200,True,446.8737487792969,347.1515197753906,0.2849581837654114,0.17845118045806885,0.30639731884002686,0.5117844939231873
AttE,trial_018,6060,0.0003,1024,128,6.0,0.0,N3,0.005,200,True,933.3687744140625,746.5117797851562,0.2745060920715332,0.17845118045806885,0.3030303120613098,0.4983164966106415
AttE,trial_019,6061,0.003,1024,128,6.0,1e-06,N3,0.001,200,False,315.4783935546875,278.81817626953125,0.285724937915802,0.17845118045806885,0.3030303120613098,0.5117844939231873
AttE,trial_020,6062,0.001,1024,64,6.0,1e-06,F2,0.005,200,True,27.697673797607422,24.114479064941406,0.3032393157482147,0.18518517911434174,0.3164983093738556,0.5521885752677917
AttE,trial_021,6063,0.001,256,64,0.0,1e-05,N3,0.001,200,False,32.40199279785156,27.414140701293945,0.2591128647327423,0.14814814925193787,0.2626262605190277,0.5151515007019043
AttE,trial_022,6064,0.0003,1024,128,0.0,1e-05,N3,0.005,200,False,4010.451904296875,4189.19189453125,0.0004204761644359678,0.0,0.0,0.0
AttE,trial_023,6065,0.0003,1024,128,0.0,1e-06,F2,0.001,200,False,3836.159423828125,4017.8955078125,0.00048368054558523,0.0,0.0,0.0
AttE,trial_024,6066,0.003,1024,64,12.0,1e-05,N3,0.005,200,True,33.38206100463867,27.3468017578125,0.26499801874160767,0.16835017502307892,0.2390572428703308,0.5151515007019043
